Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030392~fructosamine catabolic process	2	11.11111111111111	0.001550424923413996	ENSMUSG00000024747, ENSMUSG00000053279	17	2	20632	1213.6470588235295	0.3023081250673182	0.059691359551438845	0.05788253047412252
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	6	33.33333333333333	0.001989616715819021	ENSMUSG00000067149, ENSMUSG00000009281, ENSMUSG00000037053, ENSMUSG00000076613, ENSMUSG00000002985, ENSMUSG00000076617	12	1623	17430	5.369685767097967	0.02166935665765546	0.02188578387400923	0.02188578387400923
UP_SEQ_FEATURE	DISULFID:Interchain (with a heavy chain)	2	11.11111111111111	0.002654007631221813	ENSMUSG00000076609, ENSMUSG00000076613	14	4	19575	699.1071428571428	0.11976091081721996	0.04246412209954901	0.04069478367873447
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	4	22.22222222222222	0.003058084534486665	ENSMUSG00000076609, ENSMUSG00000067149, ENSMUSG00000076934, ENSMUSG00000076617	17	387	20632	12.544155646754826	0.508632346830737	0.10091678963805994	0.09785870510357328
SMART	SM00409:IG	4	22.22222222222222	0.003144162407411123	ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000076934, ENSMUSG00000076617	8	464	9860	10.625	0.00940286103292709	0.004716243611116684	0.003144162407411123
GOTERM_MF_DIRECT	GO:0018479~benzaldehyde dehydrogenase (NAD+) activity	2	11.11111111111111	0.003197085587703277	ENSMUSG00000024747, ENSMUSG00000053279	14	5	20307	580.2	0.13696629281001427	0.03676648425858768	0.031970855877032765
INTERPRO	IPR003599:Ig_sub	4	22.22222222222222	0.0038169146951253408	ENSMUSG00000076609, ENSMUSG00000095079, ENSMUSG00000076934, ENSMUSG00000076617	15	464	19841	11.40287356321839	0.1049738232720201	0.01383631576982936	0.01383631576982936
GOTERM_BP_DIRECT	GO:0006001~fructose catabolic process	2	11.11111111111111	0.003871837394481704	ENSMUSG00000024747, ENSMUSG00000053279	17	5	20632	485.45882352941175	0.5934343033781252	0.1117993047656592	0.10841144704548772
GOTERM_MF_DIRECT	GO:0034988~Fc-gamma receptor I complex binding	2	11.11111111111111	0.004473275913327814	ENSMUSG00000076613, ENSMUSG00000076615	14	7	20307	414.4285714285714	0.1863559581768277	0.041154138402615885	0.03578620730662251
GOTERM_CC_DIRECT	GO:0019815~B cell receptor complex	2	11.11111111111111	0.00498740261284942	ENSMUSG00000105906, ENSMUSG00000076617	16	7	21011	375.19642857142856	0.23661560895477207	0.04488662351564478	0.03906798713398712
UP_KW_CELLULAR_COMPONENT	KW-1280~Immunoglobulin	3	16.666666666666664	0.0050222262839837925	ENSMUSG00000076609, ENSMUSG00000076934, ENSMUSG00000076617	12	172	17430	25.334302325581394	0.0538779302988277	0.02762224456191086	0.02762224456191086
GOTERM_BP_DIRECT	GO:0110095~cellular detoxification of aldehyde	2	11.11111111111111	0.005416633557333889	ENSMUSG00000024747, ENSMUSG00000053279	17	7	20632	346.75630252100837	0.7163671775914362	0.12512423517441285	0.1213325916842791
GOTERM_BP_DIRECT	GO:0001798~positive regulation of type IIa hypersensitivity	2	11.11111111111111	0.005416633557333889	ENSMUSG00000076613, ENSMUSG00000076615	17	7	20632	346.75630252100837	0.7163671775914362	0.12512423517441285	0.1213325916842791
GOTERM_CC_DIRECT	GO:0019814~immunoglobulin complex	3	16.666666666666664	0.007508671533841227	ENSMUSG00000076609, ENSMUSG00000076934, ENSMUSG00000076617	16	185	21011	21.294932432432436	0.33435460496214364	0.04609228663834967	0.04011736059263767
